Number of Levels,CPU Avg Time (s),CPU Std Time (s),CPU Peak Memory (GB),GPU Avg Time (s),GPU Std Time (s),GPU Peak Memory (GB)
10,0.0002545833587646484,0.00010691942252963884,0.4184837341308594,0.009797048568725587,0.021114650587569,7.152557373046875e-06
50,0.063694429397583,0.005983021939316775,0.4214019775390625,0.003950834274291992,0.007669202106686077,0.00808572769165039
100,0.07912955284118653,0.017658790849656207,0.4235076904296875,0.0010141849517822266,2.4592619292245775e-05,0.008534431457519531
500,1.4820298671722412,0.4261528564247196,0.4834747314453125,0.013467121124267577,0.01705355997775033,0.0235748291015625
1000,1.6435285091400147,0.4453647901398789,0.6215095520019531,0.014594125747680663,0.0002733538101045117,0.068511962890625
2000,1.7311806201934814,0.39623274631267097,1.1259994506835938,0.044458532333374025,0.0010140490634811966,0.2464132308959961
