Layer Size,Average Speedup
10,0.11782423812898654
50,0.9491525423728814
100,1.1606648199445984
500,2.4571428571428573
1000,4.127314814814815
5000,11.964017991004496
10000,17.434108527131784
50000,16.688988095238095
1000000,34.5988760490519
